Country,RAM Capacity (Mb),Storage (Mb),Mass (grams),Pixel Density (per inch)
0,0.031220435,0.000523305,0.021551724,0.17617365
0,0.031220435,0.000523305,0.01875,0.17617365
0,0.031220435,0.000523305,0.01875,0.17617365
0,0.031220435,0.001047635,0.030172414,0.17617365
0,0.015594958,0.000523305,0.014008621,0.210499748
0,0.019501328,0.000523305,0.02262931,0.250630994
0,0.00778222,0.00078547,0.017241379,0.207723372
0,0.031220435,0.001047635,0.011508621,0.17617365
3,0.031220435,0.001047635,0.165948276,0.100706714
0,0.062471389,0.001047635,0.026939655,0.17617365
0,0.015594958,0.001047635,0.015086207,0.216304897
0,0.00778222,6.45E-05,0.012068966,0.092125189
0,0.015594958,0.000130058,0.01637931,0.26476527
3,0.031220435,0.001047635,0.092672414,0.17617365
0,0.031220435,0.000523305,0.01875,0.17617365
0,0.031220435,0.000523305,0.015086207,0.17617365
0,0.031220435,0.001047635,0.016594828,0.17617365
0,0.015594958,0.000523305,0.016594828,0.17617365
0,0.031220435,0.001047635,0.017025862,0.17617365
0,0.031220435,0.001047635,0.02262931,0.244068652
0,0.031220435,0.000523305,0.014008621,0.17617365
0,0.031220435,0.000523305,0.014008621,0.17617365
0,0.031220435,0.000523305,0.013793103,0.17617365
3,0.062471389,0.001047635,0.084913793,0.17617365
3,0.031220435,0.001047635,0.084913793,0.193336699
3,0.062471389,0.001047635,0.077801724,0.17617365
0,0.031220435,0.001047635,0.012931034,0.17617365
1,0.062471389,0.001047635,0.038793103,0.358909642
1,0.031220435,0.001047635,0.023706897,0.433619384
0,0.031220435,0.001047635,0.021336207,0.17617365
0,0.031220435,0.000523305,0.025,0.232205957
0,0.031220435,0.001047635,0.040948276,0.17617365
0,0.00778222,0.000392223,0.0125,0.4091368
0,0.015594958,0.001047635,0.015086207,0.216304897
0,0.015594958,0.000523305,0.018318966,0.216304897
0,0.015594958,0.000523305,0.018318966,0.216304897
0,0.015594958,0.000261141,0.025646552,0.273094397
0,0.062471389,0.000261141,0.025646552,0.273094397
0,0.031220435,0.001047635,0.028017241,0.17617365
0,0.031220435,0.001047635,0.028017241,0.17617365
1,0.031220435,0.002096294,0.027306034,0.390711762
0,0.031220435,0.000523305,0.018836207,0.17617365
0,0.031220435,0.000523305,0.018836207,0.17617365
0,0.031220435,0.001047635,0.018836207,0.17617365
0,0.031220435,0.002096294,0.021142241,0.17617365
0,0.015594958,0.000523305,0.012931034,0.17617365
0,0.015594958,0.000523305,0.012931034,0.17617365
0,0.015594958,0.001047635,0.015086207,0.216304897
0,0.031220435,0.001047635,0.152586207,0.22387683
1,0.031220435,0.001047635,0.02262931,0.433619384
0,0.015594958,0.001047635,0.015086207,0.216304897
0,0.031220435,0.000523305,0.025,0.232205957
3,0.031220435,0.000523305,0.072844828,0.17617365
0,0.031220435,0.000523305,0.024784483,0.291771832
3,0.062471389,0.001047635,0.256465517,0.22387683
0,0.031220435,0.001047635,0.024784483,0.17617365
1,0.062471389,0.001047635,0.024784483,0.44548208
0,0.031220435,0.000523305,0.0125,0.17617365
0,0.023407697,0.000523305,0.015732759,0.295053004
0,0.00778222,0.000392223,0.014008621,0.345784957
0,0.062471389,0.000523305,0.032758621,0.176678445
0,0.015594958,0.001047635,0.010775862,0.24432105
